videoId,title,channelId,channelTitle,description,publishTime
V7z7BAZdt2M,PHOTOGRAPHY BASICS in 10 MINUTES,UC_sSJZnJdsnjuAKdr95D9HQ,David Manning,Learn Photo Editing Basics: https://youtu.be/ndGeYQtJSdQ Learn Photo RETOUCHING Basics: ...,2019-01-31T21:13:37Z
Vg1WDO4od90,How to Shoot in Manual Mode on your Camera,UCriqrppgdUbwL2YoE_e2nwg,Austin James Jackson,Shooting in manual mode is the best way to gain full control over the look of your photos. Choosing the right settings is more than ...,2024-05-03T15:15:02Z
Edvpu_939l4,"ISO, Shutter Speed and Aperture Explained | Exposure Basics for Beginners",UCHIRBiAd-PtmNxAcLnGfwog,B&H Photo Video Pro Audio,"In this video, David Flores explores the ""trinity"" of photography fundamentals: ISO, aperture, and shutter speed. Learning to not ...",2017-11-10T18:02:52Z
UMnxM1TBshE,MANUAL PHOTOGRAPHY BASICS and camera settings CANON &amp; NIKON beginners tutorial.,UC9lyUdwosxq_OxC1uggjUPA,Photo Genius,This week I show you how to get started with taking photos in the manual mode with demonstrations featuring both Canon and ...,2023-06-17T11:30:16Z
YtqfoppzURI,How I Set Up My Camera - Photography Tips (Sony a6400 + Sigma 30mm f1.4),UCuHSzVUbgpf-L64g31ea_hw,Life Through Optics,,2023-08-11T16:55:35Z
5vu8ZVlSSqs,"MASTER YOUR CAMERA in 15 mins: settings, dials, functions.",UCH6acC9jnug-mI4vdGvuDbA,Simon d'Entremont,Sign up for my email list and get a free e-book on How to Shoot in Backlit Situations.,2023-11-27T11:24:17Z
uyXiWF3mI2s,How to Shoot Manual in 10 Minutes - Beginner Photography Tutorial,UCFzegJR4D8LAIhyboaIWVpg,Hyun Ralph Jeong,Camera used: Fujifilm X-T3 Check out X-T5 - https://howl.me/cjqKqQFfJoB Lens used: Fujinon XF 23mm f2 ...,2019-08-04T09:25:02Z
Jb8eVHYxUSs,MASTER your camera&#39;s ISO Setting (1/2),UCzi1cAY62PslI1b-4KGVxoQ,Anthony Gugliotta,Lightroom Presets: https://bit.ly/3TDLKMx Every Pro photographer understands the importance of this camera setting for nailing ...,2023-12-27T16:00:09Z
crieNBT_k9M,How to Edit &amp; Reframe Insta360 X5 Videos in Insta360 Studio [Beginners Tutorial],UCV4mfcfhglnnD_zSa_qUYwA,Action Cam Guy,Get all my best action camera settings for Insta360 here (free): https://thoughtful-composer-9577.kit.com/223aaaed82 This is how ...,2025-05-11T14:19:10Z
9t2L8dnJE0w,The BEST Camera for Beginners? 📸,UCxhPkNnb4c82owMdEIHUAOg,THAT ICELANDIC GUY.,30 Days Free Photography Tips (instantly improve your composition) https://that-icelandic-guy.kit.com/93f485b79a Presets ...,2023-10-07T15:58:41Z
ixRKeQMa7Nc,CAMERA BASICS!,UC3DkFux8Iv-aYnTRWzwaiBA,Peter McKinnon,"Learn the basics of photography. Aperture, Shutter speed and ISO. The fundamental big 3 you NEED to know! Lightroom PRESET ...",2018-04-24T19:32:23Z
6gYZuDZrx14,How to Auto Focus | Auto Focus for Beginners Part 1,UCGUSrx8dZxHVfpl5sI8CI8g,Matt Johnson,shorts How to auto focus on your digital slr camera.,2021-02-17T19:24:05Z
TcpQ4OAKVpQ,How to Use a Camera | A Beginner’s Guide,UCH2tpAxt19Q_Kpxfsjf9sfg,Colt Kirwan,Hola! In this video I go over the basics of how to use a camera in a fun and visual way. We go over the fundamentals of ...,2023-08-23T15:00:10Z
NsmOlu-udlA,Canon 2000D Quick Beginners Guide to Manual Controls,UCoRvLevj4sQdjuwXFL4m_IA,Mr Michael’s Educational Resources,How to: Set Mode Dial to Manual (M) Set Manual Focus (MF) Adjust Shutter Speed Adjust Aperture Adjust ISO How to activate ...,2021-07-10T08:16:54Z
gzf8LUrBsAU,"How to adjust Shutter Speed, Aperture and ISO on Dslr camera",UC4E-jHYHN1RoKweMQ3AdCaA,Irfan Mukadam,,2024-08-22T11:27:34Z
-sNUtwRSfmM,Street Photography Tips For Beginners,UC1AkvxHlC7JAA4N4wTs3h5Q,Zac Watson,"USE CODE - ""CINEMATIC"" FOR A CHEEKY DISCOUNT BRAND NEW VIDEO LUTS - https://bit.ly/3tr58Se My BRAND NEW ...",2023-02-14T20:00:00Z
z_DgvMHnfjc,My go to settings for sports photography in manual mode,UCsaqasaF2ZWmceiq6DNEfAg,Brian Bosche,,2022-09-07T15:01:06Z
HOSAfdCcI-k,Canon EOS 600D Av Quick Set Up for Beginners on Location #shorts,UCuHuj8ZIHYh3bb59xQZ7VCg,Media Studies Production,shorts Different Types of Magazine Articles - A-Level Media Studies BTEC Creative Media https://youtu.be/QKuYuWUhoGk ...,2021-10-08T12:38:22Z
rz-VMwnovcA,FLASH PHOTOGRAPHY FOR BEGINNERS: Easy 2 Light Setup For Events!,UCdg2KBIzDOD3uW5-IyF-sTA,Adrian Lard,EventPhotography #FlashPhotography #PhotographyLighting MY GEAR   Sony a7iii: https://geni.us/oi5uzXJ Sony 85mm 1.8: ...,2023-10-27T16:53:37Z
J6jOo4ecPBc,MUST KNOW Street Photography Camera Settings for Beginners,UC61eTQ8xLAllu8KC33tPcuQ,Mike Chudley,In this video I talk about street photography camera settings beginners must know for a variety of situations and styles.,2021-04-01T18:00:09Z
lGvz9Gfv5HE,How to shoot in Manual…GET OFF AUTO MODE!,UCH6acC9jnug-mI4vdGvuDbA,Simon d'Entremont,"Want to take amazing wildlife photos? Check out my new course with 20 modules and over 5 hours of content, no fluff!",2022-12-11T13:00:31Z
nvW0jYarLQs,POV Street Photography Camera Settings 🔥 #Shorts #Photography,UCzi1cAY62PslI1b-4KGVxoQ,Anthony Gugliotta,Full Video Here: https://youtu.be/GZh0FlYP034.,2022-04-25T15:00:34Z
NFsLT7J9M1w,New Osmo Pocket 3? Must-Have Settings for Beginners and Vloggers (Get Cinematic Footage!),UCKh3kvpo6_Xt2MDEUXjsqxw,Hallease,"To everyone who caught the Black Friday Osmo Pocket 3 deals, congratulations! You scrimped. You saved. You were patient!",2024-12-06T21:46:40Z
sK7s72ULpmM,Master the Exposure Triangle,UC8qLt3u_D2t9c9033HZEQnQ,Mike B Salazar,"How to shoot in manual mode on your camera combining shutter speed, aperture and ISO. #photographytips #sonyalpha.",2023-05-30T12:00:42Z
HTUjJoMNWqo,Master Your Camera in 20 Minutes | Tomorrow&#39;s Filmmakers,UCK8a56y4aVNhlpsJ1f3ZA4Q,Tomorrows Filmmakers,Join our Award Winning Online Film Academy with over 1000+ video lessons and over 100+ hours of content for only $97!!,2021-05-14T19:03:42Z
MRqr7F72z-Y,Portrait Photography Tips For Beginners,UC1AkvxHlC7JAA4N4wTs3h5Q,Zac Watson,"USE CODE - ""CINEMATIC"" FOR A CHEEKY DISCOUNT BRAND NEW VIDEO LUTS - https://bit.ly/3tr58Se My BRAND NEW ...",2023-01-17T20:00:06Z
qMQKdQKB4yw,Mirrorless Camera Settings for Beginners 📷,UCHV_3gCr8aC3l9-q69ZFURg,Will Langston,Take control of your mirrorless camera and achieve professional-quality photos with these beginner-friendly settings!,2023-01-19T09:45:08Z
xQ347rywl1M,The Perfect Camera For Beginners,UCFRRGb_bjUXMAsLvQEDAAig,Camera Explorations,"Beginner photographers nowadays are very lucky. I bought my first camera in 2008, an Olympus E-410 - this camera doesn't even ...",2024-05-04T17:09:53Z
BZxidDxlbO0,Best Camera Lens for Beginners? 📷,UCzi1cAY62PslI1b-4KGVxoQ,Anthony Gugliotta,Here's the lens I recommend for APS-C Cameras. For Full-frame cameras watch this video: https://youtu.be/GP37tIHj9S4 My ...,2022-12-14T05:00:10Z
1DcGAr0CTo8,Shutter Speed For Beginners,UC1AkvxHlC7JAA4N4wTs3h5Q,Zac Watson,"USE CODE - ""CINEMATIC"" FOR A CHEEKY DISCOUNT BRAND NEW VIDEO LUTS - https://bit.ly/3tr58Se My BRAND NEW ...",2023-02-26T16:00:01Z
Z6J5nN45cKk,How to Shoot in Manual Mode for Beginners + Examples,UCxbCDVe8TuzLbPFnxlC55Nw,Julia Trotti,The first 1000 people to use this link will get a free trial of Skillshare Premium Membership: https://skl.sh/juliatrotti01211 Photos ...,2021-01-12T15:00:12Z
tkEaQNAeJVw,"Easy Portrait tips for beginners, ബേസിക് ക്യാമറയും കിറ്റ്ലെൻസും ഉപയോഗിച്ച് അടിപൊളി ഫോട്ടോസ് എടുക്കാം",UCvQMZFlOac16qwLVXLoDxbQ,ishoot photography,"6 month and 3 month Photography course will start June 2nd week @kochi, manjeri,mukkam 9946132337, 7902332337. Visit Our ...",2023-06-10T12:30:25Z
-Blcf4pFfcc,How to set up Camera Flash for Beginners - GODOX v1 #shorts,UCDZ1MOoPZ98OhsPgzOnfT8g,Joseph Valenti,Using flash for the first time could be a bit of daunting task. For today's tip - I go over an EASY way to use flash for the first time ...,2022-08-11T22:00:00Z
ktRa6E7svJA,The Best Camera Settings for Beginners in 2025,UCvs_Clo5c1u2hXwv0zEG6rw,Jessica Kobeissi,Today I show you how I set up my camera for my photoshoots! With all my settings and everything else. My Photography Presets ...,2024-09-11T14:54:14Z
vu5ohljtB-A,9 Years of Camera Setting Knowledge in 29 Minutes,UCTQHeQ0XgC1k176clD5moNg,Cody Mitchell,Get the Free Cheat Sheet for your Phone Here https://connects.codymitchell.com/exposurecheatsheet Become a better ...,2024-12-19T14:00:55Z
VSLC6zkMzbo,A Beginners Guide to Street Photography,UC1AkvxHlC7JAA4N4wTs3h5Q,Zac Watson,"USE CODE - ""CINEMATIC"" FOR A CHEEKY DISCOUNT BRAND NEW VIDEO LUTS - https://bit.ly/3tr58Se My BRAND NEW ...",2023-05-27T20:00:13Z
qnRsO7uTFRc,Try this mobile photography trick!,UCj9r3VS9Tuy9FRI87HrXgow,Demas Rusli,Try this next time you take a low angle photo! Do you think it's better?,2024-09-05T15:14:46Z
