videoId,title,channelId,channelTitle,description,publishTime,statistics
7ZVyNjKSr0M,9 photo composition tips (feat. Steve McCurry),UCn5C6P1rxY6PEU6xUKapbCQ,COOPH,"COOPH presents a photography tutorial with 9 tips and tricks on photo composition, using the help of Steve McCurry's incredible ...",2015-03-16T14:32:40Z,
8XBYt-_U4WE,Learn 20 Photo Composition Techniques in JUST 20 Minutes!,UCgYuhW-WrnAvTfJbdbcrfcw,Sean Gallagher - Pro Photographer,"Great composition is the foundation of every photo. In this video, I want to share with you 20 of my favourite tried and tested ...",2024-08-30T15:00:06Z,
GG8M1Huo_2g,5 Photography Composition Tips From a National Geographic Photo Story,UCgYuhW-WrnAvTfJbdbcrfcw,Sean Gallagher - Pro Photographer,"In this video, you will learn the 5 composition techniques that I used in the making of my photo-story, 'Jakarta - The Sinking City', ...",2024-03-04T16:00:08Z,
VUg33pNa5zE,8 IMPORTANT Composition Tips for Better Photos,UCxCFQfO05RinX6x_r5VVuiA,Jamie Windsor,"8 IMPORTANT Composition Tips for Better Photos (Re-upload) So, you're looking to improve your photography and you're ...",2024-04-25T19:45:35Z,
hfvPR-VMVAY,5 Advanced Composition Techniques Used by Pro Photographers,UCgYuhW-WrnAvTfJbdbcrfcw,Sean Gallagher - Pro Photographer,"In this video, I want to share with you five advanced composition techniques that professional photographers use to enhance the ...",2024-01-29T16:00:08Z,
upxY8U1XPB0,Photography Composition: Thinking Beyond the Rules,UC_43mQmHwHPTBBqImFrWU3Q,Sean Tucker,Squarespace link for 10% off: https://www.squarespace.com/seantucker The Meaning in the Making: ...,2021-05-08T16:00:27Z,
-XkMVu9TrmA,Improve your photography with this composition tip!,UCzi1cAY62PslI1b-4KGVxoQ,Anthony Gugliotta,Lightroom Presets: https://bit.ly/3TDLKMx Photography Composition Tip LET'S CONNECT: https://gugliotta.one/contact ...,2024-05-26T15:00:00Z,
N-HyTRGtdSA,7 SIMPLE photo COMPOSITION TIPS to IMPROVE your photography,UCkJld-AoXurbT2jDnfM8qiA,Nigel Danson,Composition is often the area of photography that people struggle with. So I have broken down how I go about composing an ...,2018-03-04T09:00:03Z,
nODoT6_K-FA,How To Take Better Mountain Photos (Photography Tips),UCND8Z3sOuquLSIq1knW4YDg,Nature ,How to Take Better Mountain Photos | Expedition Vibes Ready to level up your mountain photography? 🏞️ Whether you're an ...,2025-05-11T06:34:16Z,
qIChWoYFu9k,8 Photo Composition Tips (With Alan Schaller),UCiKLUidT6sqXHpMmUzKxkRg,Alan Schaller,Join my Patreon: https://www.patreon.com/AlanSchaller In this video I explain my approach to one of the most important skills for ...,2025-02-24T15:42:11Z,
NAexy836ff8,COMPOSITION MISTAKES that photographers make and how to avoid them,UCH6acC9jnug-mI4vdGvuDbA,Simon d'Entremont,Sign up for my email list and get a free e-book on How to Shoot Backlit. https://www.simondentremont.com/freebie123 Want to ...,2023-10-23T11:32:56Z,
tyVrCznvNXM,Photography Composition - Beginner Photography Tutorial,UCFzegJR4D8LAIhyboaIWVpg,Hyun Ralph Jeong,Follow me on Instagram: https://www.instagram.com/ralphjeong/ Let's talk about composition today. Here are some of my tips for ...,2019-08-19T16:10:59Z,
nRBUhNph1mU,30 Photography Composition Tips in 30 Minutes,UCJy9E11lZD5h1_E8wRtMpxA,Nate Torres,"Thanks for watching, leave a comment down below and let me know what composition technique is your favorite. One of the most ...",2022-12-07T22:41:24Z,
VW4Mm1XjCqQ,Image Composition Tips To Improve Your Photos (Photography tips),UCuHSzVUbgpf-L64g31ea_hw,Life Through Optics,,2024-03-22T14:02:26Z,
